"Date","Price","Open","High","Low","Vol.","Change %"
"08/10/2023","3.1214","3.1724","3.1928","3.0942","39.51K","-1.55%"
"08/09/2023","3.1707","3.0593","3.1780","3.0539","54.01K","3.67%"
"08/08/2023","3.0585","3.0117","3.0647","2.9174","47.83K","2.14%"
"08/07/2023","2.9944","3.0467","3.0577","2.9915","28.63K","-1.41%"
"08/04/2023","3.0373","3.0533","3.0599","3.0131","36.47K","-0.20%"
"08/03/2023","3.0433","2.9875","3.0572","2.9374","43.37K","2.26%"
"08/02/2023","2.9761","3.0269","3.0479","2.9394","47.89K","-0.45%"
"08/01/2023","2.9895","2.9597","3.0263","2.9459","54.11K","0.13%"
"07/31/2023","2.9855","2.9548","3.0054","2.9222","57.10K","1.21%"
"07/28/2023","2.9498","2.9017","2.9651","2.8777","64.39K","1.41%"
"07/27/2023","2.9088","2.8402","2.9153","2.8336","71.75K","2.54%"
"07/26/2023","2.8367","2.7640","2.8435","2.7526","65.31K","2.28%"
"07/25/2023","2.7734","2.7678","2.7862","2.7264","60.01K","0.34%"
"07/24/2023","2.7640","2.7407","2.8279","2.7149","79.18K","0.95%"
"07/21/2023","2.7380","2.6643","2.7435","2.6614","56.29K","3.03%"
"07/20/2023","2.6574","2.6370","2.6651","2.6138","46.34K","0.83%"
"07/19/2023","2.6355","2.6080","2.6681","2.5933","59.47K","1.60%"
"07/18/2023","2.5941","2.5619","2.6065","2.5529","36.86K","1.40%"
"07/17/2023","2.5584","2.5758","2.6127","2.5454","36.24K","-1.20%"
"07/14/2023","2.5894","2.6098","2.6278","2.5672","48.50K","-0.58%"
"07/13/2023","2.6046","2.5996","2.6248","2.5752","49.53K","0.49%"
"07/12/2023","2.5920","2.5680","2.6151","2.5627","52.97K","0.67%"
"07/11/2023","2.5747","2.5442","2.5849","2.5345","32.46K","1.36%"
"07/10/2023","2.5401","2.5444","2.5682","2.5169","32.83K","-0.07%"
"07/07/2023","2.5420","2.4762","2.5456","2.4688","38.82K","2.98%"
"07/06/2023","2.4685","2.4851","2.4881","2.4226","36.88K","-0.57%"
"07/05/2023","2.4827","2.3861","2.4951","2.3832","49.82K","1.98%"
"07/04/2023","2.4345","2.3896","2.4479","2.3852","","2.50%"
"07/03/2023","2.3751","2.4351","2.4609","2.3731","26.81K","-2.96%"
"06/30/2023","2.4476","2.4087","2.4535","2.3879","55.69K","1.68%"
"06/29/2023","2.4072","2.3847","2.4395","2.3783","41.53K","0.52%"
"06/28/2023","2.3948","2.3935","2.4131","2.3467","54.28K","0.98%"
"06/27/2023","2.3716","2.4220","2.4468","2.3623","67.93K","-1.70%"
"06/26/2023","2.4127","2.3879","2.4331","2.3743","61.59K","1.68%"
"06/23/2023","2.3729","2.4132","2.4156","2.3432","55.24K","-1.68%"
"06/22/2023","2.4135","2.4872","2.4978","2.3963","69.14K","-3.28%"
"06/21/2023","2.4954","2.4305","2.5028","2.4092","70.55K","2.41%"
"06/20/2023","2.4367","2.5069","2.5069","2.4074","70.06K","-2.90%"
"06/19/2023","2.5094","2.5446","2.5450","2.4980","","-1.39%"
"06/18/2023","2.5447","2.5530","2.5530","2.5429","","1.59%"
"06/16/2023","2.5048","2.4536","2.5081","2.4456","58.29K","2.05%"
"06/15/2023","2.4544","2.3465","2.4613","2.3287","47.32K","4.80%"
"06/14/2023","2.3419","2.3754","2.4111","2.3358","44.90K","-1.56%"
"06/13/2023","2.3789","2.3015","2.3940","2.3015","39.74K","3.52%"
"06/12/2023","2.2981","2.3495","2.3496","2.2876","32.93K","-2.37%"
"06/09/2023","2.3538","2.3756","2.3964","2.3523","21.23K","-1.18%"
"06/08/2023","2.3820","2.3979","2.4192","2.3127","39.20K","-0.63%"
"06/07/2023","2.3970","2.3573","2.4093","2.3432","33.66K","1.32%"
"06/06/2023","2.3657","2.3718","2.3803","2.3247","20.76K","-0.37%"
"06/05/2023","2.3746","2.4071","2.4260","2.3623","22.29K","0.87%"
"06/02/2023","2.3542","2.3135","2.3752","2.3084","25.52K","1.85%"
"06/01/2023","2.3114","2.2451","2.3340","2.2382","28.79K","2.69%"
"05/31/2023","2.2509","2.2832","2.2839","2.2268","43.16K","-0.80%"
"05/30/2023","2.2690","2.3677","2.3766","2.2649","64.44K","-4.23%"
"05/29/2023","2.3692","2.3635","2.3635","2.3385","0.38K","0.59%"
